date,department_name,revenue,total_cost,profit,utilization_rate
2023-01-31 00:00:00,Digital Transformation,16888.91,11720.22,5168.69,0.774
2023-02-28 00:00:00,Digital Transformation,19441.45,14948.93,4492.52,0.842
2023-03-31 00:00:00,Digital Transformation,16711.45,12164.62,4546.83,0.727
2023-04-30 00:00:00,Digital Transformation,16346.3,12374.01,3972.29,0.773
2023-05-31 00:00:00,Digital Transformation,20158.54,13502.77,6655.77,0.883
2023-06-30 00:00:00,Digital Transformation,19480.48,12666.32,6814.16,0.868
2023-07-31 00:00:00,Digital Transformation,16499.35,11959.52,4539.83,0.721
2023-08-31 00:00:00,Digital Transformation,15457.38,11903.82,3553.56,0.678
2023-09-30 00:00:00,Digital Transformation,17569.49,12349.36,5220.13,0.799
2023-10-31 00:00:00,Digital Transformation,16487.1,11138.08,5349.02,0.778
2023-11-30 00:00:00,Digital Transformation,17377.43,11309.45,6067.98,0.777
2023-12-31 00:00:00,Digital Transformation,17622.47,11615.81,6006.66,0.828
2024-01-31 00:00:00,Digital Transformation,18431.09,13670.39,4760.7,0.878
2024-02-29 00:00:00,Digital Transformation,16443.9,12061.15,4382.75,0.782
2024-03-31 00:00:00,Digital Transformation,17056.79,12315.29,4741.5,0.766
2024-04-30 00:00:00,Digital Transformation,14939.97,11456.37,3483.6,0.665
2024-05-31 00:00:00,Digital Transformation,15037.71,10151.0,4886.71,0.7
2024-06-30 00:00:00,Digital Transformation,16722.81,13020.78,3702.03,0.79
2024-07-31 00:00:00,Digital Transformation,17394.86,12642.98,4751.88,0.784
2024-08-31 00:00:00,Digital Transformation,16449.16,12300.18,4148.98,0.737
2024-09-30 00:00:00,Digital Transformation,15928.87,11209.95,4718.92,0.747
2024-10-31 00:00:00,Digital Transformation,16475.2,12271.61,4203.59,0.756
2024-11-30 00:00:00,Digital Transformation,15981.68,12313.32,3668.36,0.751
2024-12-31 00:00:00,Digital Transformation,18475.77,12552.39,5923.38,0.818
2023-01-31 00:00:00,Public Finance,14748.27,10492.55,4255.72,0.793
2023-02-28 00:00:00,Public Finance,13732.78,9430.87,4301.91,0.735
2023-03-31 00:00:00,Public Finance,16020.22,11669.94,4350.28,0.822
2023-04-30 00:00:00,Public Finance,14201.27,10800.12,3401.15,0.724
2023-05-31 00:00:00,Public Finance,15013.24,11294.96,3718.28,0.784
2023-06-30 00:00:00,Public Finance,14179.51,10883.1,3296.41,0.772
2023-07-31 00:00:00,Public Finance,15864.01,11113.12,4750.89,0.84
2023-08-31 00:00:00,Public Finance,14045.85,10677.22,3368.63,0.76
2023-09-30 00:00:00,Public Finance,12931.41,9870.28,3061.13,0.706
2023-10-31 00:00:00,Public Finance,15352.5,10797.1,4555.4,0.837
2023-11-30 00:00:00,Public Finance,15033.81,11291.69,3742.12,0.804
2023-12-31 00:00:00,Public Finance,15586.99,10674.9,4912.09,0.797
2024-01-31 00:00:00,Public Finance,14835.18,10546.15,4289.03,0.801
2024-02-29 00:00:00,Public Finance,16539.87,12458.51,4081.36,0.874
2024-03-31 00:00:00,Public Finance,15217.41,11600.4,3617.01,0.785
2024-04-30 00:00:00,Public Finance,15391.81,12251.64,3140.17,0.816
2024-05-31 00:00:00,Public Finance,15008.69,10205.1,4803.59,0.783
2024-06-30 00:00:00,Public Finance,15595.42,11510.26,4085.16,0.835
2024-07-31 00:00:00,Public Finance,14101.65,9624.59,4477.06,0.763
2024-08-31 00:00:00,Public Finance,17086.15,12347.96,4738.19,0.863
2024-09-30 00:00:00,Public Finance,13960.64,10883.55,3077.09,0.767
2024-10-31 00:00:00,Public Finance,13369.38,9781.68,3587.7,0.725
2024-11-30 00:00:00,Public Finance,14532.47,10446.38,4086.09,0.744
2024-12-31 00:00:00,Public Finance,14406.69,10620.69,3786.0,0.785
2023-01-31 00:00:00,Infrastructure Advisory,13801.74,9820.21,3981.53,0.724
2023-02-28 00:00:00,Infrastructure Advisory,16885.62,11711.48,5174.14,0.868
2023-03-31 00:00:00,Infrastructure Advisory,13801.95,10081.47,3720.48,0.719
2023-04-30 00:00:00,Infrastructure Advisory,16587.2,11659.2,4928.0,0.816
2023-05-31 00:00:00,Infrastructure Advisory,15800.99,12252.16,3548.83,0.796
2023-06-30 00:00:00,Infrastructure Advisory,14478.45,10203.34,4275.11,0.717
2023-07-31 00:00:00,Infrastructure Advisory,16227.81,11529.72,4698.09,0.791
2023-08-31 00:00:00,Infrastructure Advisory,15387.34,10239.5,5147.84,0.775
2023-09-30 00:00:00,Infrastructure Advisory,16534.81,11516.25,5018.56,0.789
2023-10-31 00:00:00,Infrastructure Advisory,14826.74,10702.0,4124.74,0.771
2023-11-30 00:00:00,Infrastructure Advisory,16015.41,11895.39,4120.02,0.793
2023-12-31 00:00:00,Infrastructure Advisory,16614.06,11157.6,5456.46,0.829
2024-01-31 00:00:00,Infrastructure Advisory,14671.77,10469.27,4202.5,0.749
2024-02-29 00:00:00,Infrastructure Advisory,14425.64,11084.44,3341.2,0.71
2024-03-31 00:00:00,Infrastructure Advisory,15018.9,11088.23,3930.67,0.751
2024-04-30 00:00:00,Infrastructure Advisory,16080.77,11780.68,4300.09,0.786
2024-05-31 00:00:00,Infrastructure Advisory,15862.54,11187.22,4675.32,0.812
2024-06-30 00:00:00,Infrastructure Advisory,17318.71,12171.66,5147.05,0.829
2024-07-31 00:00:00,Infrastructure Advisory,16470.51,12260.17,4210.34,0.808
2024-08-31 00:00:00,Infrastructure Advisory,17421.51,12413.52,5007.99,0.834
2024-09-30 00:00:00,Infrastructure Advisory,15135.12,12069.84,3065.28,0.726
2024-10-31 00:00:00,Infrastructure Advisory,16351.9,12017.43,4334.47,0.833
2024-11-30 00:00:00,Infrastructure Advisory,15568.78,11087.5,4481.28,0.791
2024-12-31 00:00:00,Infrastructure Advisory,14847.18,11380.97,3466.21,0.756
